Node Number = 20966
Cell Number = 34926
1 16927 16646 16645 1
2 16752 16751 16452 2
3 5700 5521 5522 3
4 4301 4302 4300 4
5 6455 6730 6454 5
6 5546 5542 5384 6
7 7831 7454 7832 7
8 3845 3926 3925 8
9 8325 7965 8324 9
10 5734 5556 5559 10
11 9933 9554 9553 11
12 11958 11961 12351 12
13 10730 10731 11104 13
14 8829 8455 8830 14
15 5489 5328 5330 15
16 20409 20410 20400 16
17 9288 9670 9669 17
18 1555 1669 1668 18
19 3978 3905 3904 19
20 12538 12140 12141 20
21 14645 14966 14646 21
22 2593 2674 2591 22
23 7969 8328 7970 23
24 14197 14535 14534 24
25 10563 10189 10561 25
26 16654 16935 16655 26
27 9725 9342 9724 27
28 11396 11398 11028 28
29 14352 14353 14015 29
30 2085 2005 2088 30
31 10533 10534 10146 31
32 2128 2127 2218 32
33 2894 2966 2896 33
34 4776 4775 4888 34
35 4079 4137 4076 35
36 5000 4888 5001 36
37 10184 10560 10183 37
38 4892 5003 5004 38
39 4402 4396 4322 39
40 2833 2746 2747 40
41 14395 14715 14396 41
42 10355 10731 10730 42
43 11904 11523 11526 43
44 15519 15837 15517 44
45 8852 9224 9229 45
46 9785 9784 10166 46
47 13226 12851 13225 47
48 11311 10947 10942 48
49 5824 5823 6009 49
50 7810 7428 7811 50
51 10524 10522 10135 51
52 8626 8627 8246 52
53 8820 9193 8819 53
54 9955 9954 10365 54
55 12689 12690 13081 55
56 9307 9683 9682 56
57 13525 13526 13156 57
58 10839 10837 10463 58
59 12683 12287 12679 59
60 13815 13444 13814 60
61 20232 20206 20231 61
62 1551 1552 1666 62
63 1879 1877 1777 63
64 17736 17524 17525 64
65 20381 20382 20372 65
66 20836 20832 20835 66
67 20188 20214 20213 67
68 20423 20414 20424 68
69 19006 18933 18932 69
70 13631 13970 13971 70
71 3079 3080 3156 71
72 15862 15859 16175 72
73 6974 6685 6680 73
74 11988 11608 11989 74
75 16215 15897 15898 75
76 19881 19880 19914 76
77 19099 19097 19148 77
78 19004 19002 19067 78
79 17351 17582 17581 79
80 18962 18883 18961 80
81 17537 17538 17309 81
82 17583 17592 17790 82
83 1932 1839 1934 83
84 5280 5279 5153 84
85 18464 18361 18463 85
86 837 836 839 86
87 1936 1843 1841 87
88 17789 17585 17581 88
89 16613 16896 16898 89
90 4818 4719 4720 90
91 18471 18472 18563 91
92 18569 18642 18654 92
93 17775 17776 17565 93
94 13752 13753 13399 94
95 10206 10205 10582 95
96 782 848 849 96
97 18149 18151 18002 97
98 7958 7594 7593 98
99 9718 9337 9336 99
100 11696 11327 11325 100
101 15831 16154 15828 101
102 14836 14835 15175 102
103 17642 17415 17640 103
104 3807 3722 3725 104
105 15387 15712 15388 105
106 6382 6639 6381 106
107 3188 3119 3111 107
108 11709 11338 11710 108
109 14254 14255 13908 109
110 11611 11237 11236 110
111 16195 16199 16511 111
112 3259 3258 3348 112
113 1653 1654 1539 113
114 6145 5937 5934 114
115 3519 3425 3422 115
116 1863 1957 1920 116
117 1234 1263 1262 117
118 2097 2182 2184 118
119 1174 1172 1134 119
120 1062 1106 1105 120
121 12474 12473 12860 121
122 1278 1247 1248 122
123 1070 1113 1069 123
124 11045 10675 10673 124
125 1082 1040 1042 125
126 13356 13350 13706 126
127 1973 2061 1972 127
128 1432 1506 1503 128
129 2664 2665 2748 129
130 3873 3953 3875 130
131 4150 4149 4211 131
132 1810 1907 1905 132
133 2504 2506 2430 133
134 1486 1589 1485 134
135 6756 6487 6757 135
136 6602 6352 6365 136
137 7874 8247 7873 137
138 9025 9402 9024 138
139 8242 8241 7865 139
140 8224 7875 7843 140
141 6311 6096 6312 141
142 11663 11293 11669 142
143 7162 7505 7164 143
144 7872 7874 7501 144
145 3998 4065 3999 145
146 7160 7501 7502 146
147 3501 3405 3406 147
148 2892 2964 2893 148
149 2179 2268 2180 149
150 4198 4197 4135 150
151 3948 4018 3947 151
152 5005 5119 5116 152
153 4310 4248 4245 153
154 2500 2497 2583 154
155 2352 2429 2410 155
156 3014 2977 3016 156
157 3889 3962 3885 157
158 3120 3131 3197 158
159 2505 2502 2428 159
160 2553 2642 2589 160
161 1613 1729 1616 161
162 4411 4331 4409 162
163 4313 4393 4395 163
164 3340 3342 3252 164
165 3123 3199 3125 165
166 2038 2124 2037 166
167 1924 2007 2009 167
168 4415 4335 4416 168
169 4138 4137 4079 169
170 7197 7194 6881 170
171 4688 4787 4786 171
172 5734 5559 5737 172
173 4505 4603 4504 173
174 5122 5250 5249 174
175 5396 5560 5559 175
176 5135 5138 5025 176
177 8296 8295 8668 177
178 7509 7506 7877 178
179 7567 7232 7230 179
180 7227 7558 7562 180
181 6600 6889 6599 181
182 7564 7563 7931 182
183 6350 6600 6348 183
184 7231 7568 7556 184
185 6871 7185 6872 185
186 11533 11913 11530 186
187 7890 7891 7522 187
188 7526 7893 7525 188
189 9399 9400 9776 189
190 9738 10126 10122 190
191 7846 7844 7467 191
192 7894 7893 7527 192
193 8991 8610 8990 193
194 8292 8664 8289 194
195 10539 10153 10155 195
196 11646 11648 11270 196
197 10571 10195 10570 197
198 9382 9026 8999 198
199 10921 11294 11293 199
200 7199 6886 7193 200
201 15198 15199 15522 201
202 10925 10926 11299 202
203 13855 14201 14198 203
204 11312 11680 11683 204
205 17069 17295 17277 205
206 14185 13838 14186 206
207 13550 13182 13183 207
208 10004 9626 9625 208
209 17050 17048 16785 209
210 9210 9209 8834 210
211 15882 15842 15561 211
